sample,point,x,top_y,bottom_y,diameter,deviation,outlier,confidence
sample_N01,9,74,384.5979383733981,857.9263804348615,473.32844206146336,215.9741894266736,NORMAL,0.6911805272102356
sample_N01,10,78,139.07143012844617,857.9464832275193,718.875053099073,29.57242161093609,NORMAL,0.6911805272102356
sample_N01,11,83,384.83062324319684,857.9533762345792,473.12275299138236,216.1798784967546,NORMAL,0.6911805272102356
sample_N01,12,87,384.84123225747726,857.9605262348857,473.11929397740846,216.1833375107285,NORMAL,0.6911805272102356
sample_N01,13,92,153.38889041947957,857.9847457701637,704.5958553506841,15.293223862547165,NORMAL,0.6911805272102356
sample_N01,14,96,308.9444449153979,857.987889194798,549.0434442794001,140.25918720873688,NORMAL,0.6911805272102356
sample_N01,15,101,383.29518045294463,1067.4999923705473,684.2048119176027,5.097819570534284,NORMAL,0.6911805272102356
sample_N01,16,106,455.10098520686375,1113.2499952316466,658.1490100247829,31.153621463354057,NORMAL,0.6911805272102356
sample_N01,17,110,456.2012987806509,1113.0,656.7987012193491,32.503930268787826,NORMAL,0.6911805272102356
sample_N01,18,115,382.84256058834507,1072.0,689.1574394116549,0.14519207648208976,NORMAL,0.6911805272102356
sample_N01,19,119,382.81034481521556,1074.0,691.1896551847844,1.887023696647475,NORMAL,0.6911805272102356
sample_N01,20,124,382.7492013815298,1074.0,691.2507986184702,1.9481671303332178,NORMAL,0.6911805272102356
sample_N01,21,128,382.69736851186303,1072.0,689.302631488137,0.0,NORMAL,0.6911805272102356
sample_N01,22,133,112.0,857.9216028351581,745.9216028351581,56.6189713470211,NORMAL,0.6911805272102356
sample_N01,23,137,114.5,857.8972124532451,743.3972124532451,54.09458096510809,NORMAL,0.6911805272102356
sample_N01,24,142,111.2272730425374,857.8741496404454,746.646876597908,57.34424510977101,NORMAL,0.6911805272102356
sample_N01,25,146,117.62499821185895,857.8398057689097,740.2148075570508,50.91217606891382,NORMAL,0.6911805272102356
sample_N01,26,151,115.0,857.8139159055481,742.8139159055481,53.51128441741116,NORMAL,0.6911805272102356
sample_N01,27,155,109.0,857.8069619901706,748.8069619901706,59.50433050203367,NORMAL,0.6911805272102356
sample_N01,28,160,113.8333319204849,857.8010381650491,743.9677062445643,54.665074756427316,NORMAL,0.6911805272102356
sample_N01,29,164,112.6818191276122,857.7962963010534,745.1144771734412,55.811845685304206,NORMAL,0.6911805272102356
sample_N01,30,169,109.0,857.780405486823,748.780405486823,59.477773998686075,NORMAL,0.6911805272102356
sample_N01,31,174,110.83334181045993,857.7823920051048,746.9490501946449,57.646418706507916,NORMAL,0.6911805272102356
sample_N02,1,28,349.0,826.2490347268566,477.2490347268566,2.250582749574278,NORMAL,0.774206817150116
sample_N02,2,31,349.0,826.4759448554603,477.4759448554603,2.477492878177941,NORMAL,0.774206817150116
sample_N02,3,34,349.0,826.713622410952,477.713622410952,2.715170433669641,NORMAL,0.774206817150116
sample_N02,4,38,349.0,826.7123076468022,477.7123076468022,2.7138556695198304,NORMAL,0.774206817150116
sample_N02,5,41,349.0,826.6314102042904,477.63141020429043,2.632958227008089,NORMAL,0.774206817150116
sample_N02,6,45,350.0,826.3069496426041,476.3069496426041,1.3084976653217382,NORMAL,0.774206817150116
sample_N02,7,48,133.34615158895508,826.2611337032818,692.9149821143267,217.91653013704433,OUTLIER,0.774206817150116
sample_N02,8,51,350.0,826.0756579190905,476.07565791909053,1.077205941808188,NORMAL,0.774206817150116
sample_N02,9,55,352.0,826.0000000588687,474.00000005886875,0.9984519184135934,NORMAL,0.774206817150116
sample_N02,10,58,351.0,825.9984519772823,474.99845197728234,0.0,NORMAL,0.774206817150116
sample_N02,11,62,351.0,825.9798761108979,474.97987611089786,0.018575866384480832,NORMAL,0.774206817150116
sample_N02,12,65,351.0,826.011705699273,475.01170569927297,0.01325372199062258,NORMAL,0.774206817150116
sample_N02,13,68,136.83333192048488,826.0,689.1666680795151,214.1682161022328,OUTLIER,0.774206817150116
sample_N02,14,72,352.0,826.0,474.0,0.9984519772823433,NORMAL,0.774206817150116
